BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,BUILDING,FLOOR NUMBER,ROOM NUMBER,VERIFICATION DATE,DUPLICATE BARCODE,ASSET CONDITION - 30 JUNE 2012,ASSET CONDITION - 30 JUNE 2013,RESPONSIBLE PERSON,LEASED,VIN NUMBER,START LAT,START LONG,STREET NAME
01173,LOCOMOTION STEAM,,HERRITAGE ASSETS,HERITAGE ASSETS,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0058,,,POOR,,,NO,,,,
02912,HEARSE FUNERAL TRADE ,,HERRITAGE ASSETS,HERITAGE ASSETS,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0060,,,POOR,,,NO,,,,
01005,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0005,,,GOOD,,SEREI D,YES,,,,
01007,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0006,,,GOOD,,MAJOLA NE,YES,,,,
01008,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,INSPIRON N4020,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0006,,,GOOD,,MAJOLA NE,YES,,,,
01009,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,G62,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0017,,,GOOD,,JACOBS T V,YES,,,,
01024,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,INSPIRON N4020,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0003,,,GOOD,,SMOUS Y,YES,,,,
01076,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,620,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0004,,,GOOD,,MAGODONGO G,YES,,,,
01077,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,620,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0015,,,GOOD,,LENTSOE D C,YES,,,,
01171,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,INSPIRON N4020,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0017,,,GOOD,,JACOBS T V,YES,,,,
02789,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0004,,,GOOD,,MAGODONGO G,YES,,,,
03260,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,630,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0011,,,GOOD,,MANOPOLE EG,YES,,,,
03263,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,620,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0002,,,GOOD,,MAKGOE K H,YES,,,,
03264,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,630,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0007,,,GOOD,,MOHANYAHANYA A N,YES,,,,
03265,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,D630,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0014,,,GOOD,,MOLEBATSI A M,YES,,,,
03517,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,620,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0051,,,FAIR,,ELECTRICAL STORE,YES,,,,
03522,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,PROBOOK 453S,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0012,,,GOOD,,MAKGARI C,YES,,,,
03523,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,620,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0004,,,GOOD,,MAGODONGO G,YES,,,,
03537,COMPUTER LAPTOP,,OTHER ASSETS,COMPUTER EQUIPMENT,COMPAQ PRESARIO CQ57,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0006,,,GOOD,,MAJOLA NE,YES,,,,
01129,COMPUTER SERVER,,OTHER ASSETS,COMPUTER EQUIPMENT,T310,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,VERY GOOD,,SERVER ROOM,NO,,,,
01143,COMPUTER SERVER,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,VERY GOOD,,SERVER ROOM,NO,,,,
01144,COMPUTER SERVER,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,VERY GOOD,,SERVER ROOM,NO,,,,
01144,WIRELESS NANOSTATION LOCO M5,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,VERY GOOD,,SERVER ROOM,NO,,,,
02727,COMPUTER PRINTER,,OTHER ASSETS,COMPUTER EQUIPMENT,DESKJET 2050 ALL IN ONE,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PURIFICATION PLANT,,,R0049,,,GOOD,,PURIFICATION PLANT,NO,,,,
02740,COMPUTER PRINTER,,OTHER ASSETS,COMPUTER EQUIPMENT,SCX-4623F,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0037,,,GOOD,,VACANT,NO,,,,
02836,COMPUTER CPU,,OTHER ASSETS,COMPUTER EQUIPMENT,SYMPHONY,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0019,,,GOOD,,SENONOHI K D,NO,,,,
02838,COMPUTER MONITOR FLAT SCREEN,,OTHER ASSETS,COMPUTER EQUIPMENT,JS555,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0020,,,GOOD,,TLHALOGANYO I,NO,,,,
02839,COMPUTER MONITOR FLAT SCREEN,,OTHER ASSETS,COMPUTER EQUIPMENT,JS555,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0020,,,GOOD,,TLHALOGANYO I,NO,,,,
02840,COMPUTER CPU,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0020,,,GOOD,,TLHALOGANYO I,NO,,,,
01172,LDV NISSAN,CCF833NC,OTHER ASSETS,TRANSPORT ASSETS,NP 200 1.6I,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0057,,,VERY GOOD,,LDV NISSAN 1.6I,NO,,,,
X0024,RADIO STATION EQUIPMENT - TRANSMISSION SYSTEM,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,GOOD,,PARKS STORE ROOM,NO,,,,
X0025,RADIO STATION EQUIPMENT - TRANSMISSION SYSTEM,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,GOOD,,PARKS STORE ROOM,NO,,,,
02775,MACHINE FACSIMILE,,OTHER ASSETS,COMPUTER EQUIPMENT,MFC-7225N,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0012,,,GOOD,,MAKGARI C,NO,,,,
02778,BROTHER MFC 9120CN COLOUR PRINTER,,OTHER ASSETS,COMPUTER EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,,,,,R0004,,,GOOD,,MAGODONGO G,NO,,,,
X0022,WIRELESS POINT IN BOARDROOM,,OTHER ASSETS,COMPUTER EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,SERVER ROOM,,,R0024,,,GOOD,,SERVER ROOM,NO,,,,
00997,MACHINE WELDER,,OTHER ASSETS,COMPUTER EQUIPMENT,WSM-200A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,GOOD,,WORKSHOP,NO,,,,
02716,MACHINE WELDER,,OTHER ASSETS,MACHINERY AND EQUIPMENT,N/A,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,ELECTRICAL STORE,,,R0201,,,GOOD,,ELECTRICAL STORE,NO,,,,
02793,MACHINE DRILL PRESS,,OTHER ASSETS,MACHINERY AND EQUIPMENT,JTD15F/1,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,WORKSHOP,,,R0044,,,FAIR,,WORKSHOP,NO,,,,
X0026,33M LEAD 2.5*3 CORE PVC COMP,,OTHER ASSETS,MACHINERY AND EQUIPMENT,,,,,,,MAGARENG LOCAL MUNICIPALITY,WARRENTON,PARKS STORE ROOM,,,R0047,,,GOOD,,PARKS STORE ROOM,NO,,,,
