BARCODE,"ASSET DESCRIPTION","SERIAL NO",CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,LOCATION_4,"FLOOR NUMBER","ROOM TYPE","VERIFICATION DATE",OWNERSHIP,"DUPLICATE BARCODE","ASSET CONDITION",OWNER,LEASED,"VIN NUMBER","DATE OF VERIFICATION","SUPPLIER NAME","GAMAP FUNDING","GFS FUNDING",QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,"FROM NODE","TO NODE","NODE LAYER","START LAT","START LONG","END LAT","END LONG",GIS_ID,"STAND NUMBER","STREET NAME","LAND RENTED (Y/N)","LAND OR IMPROVEMENTS","LAND MATCHED","ERF NUMBER",PORTION,EXTENSION,"TITLE DEED NUMBER","SURVEY GENERAL REFERANCE NO","LAND SIZE","VOTE NUMBER","ORDER NUMBER","ORDER DATE","INVOICE NUMBER","INVOICE DATE","CHEQUE NUMBER","WAS ASSET BROUGHT IN ON A DRC",,"UPDATE STATUS","CREATE TIME","UPDATE TIME","PREV CONDITION","PREV CATEGORY 1","PREV CATEGORY 2","PREV CATEGORY 3","PREV CATEGORY 4","PREV TOWN","PREV STREET","PREV BUILDING","PREV FLOOR","PREV ROOM"
A05900,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,"WAG 200L",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,MOTOR,"WAG 200L",BOSHOF,N/A,N/A,N/A,N/A
A05898,PUMP,,INFRASTRUCTURE,SEWER,PUMP,"SUPER T SERIES 1314962",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",,,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,INFRASTRUCTURE,SEWER,PUMP,"SUPER T SERIES 1314962",BOSHOF,N/A,N/A,N/A,N/A
A05899,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,"WAG 200L",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,FAIR,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,MOTOR,"WAG 200L",BOSHOF,N/A,N/A,N/A,N/A
A05897,PUMP,,INFRASTRUCTURE,SEWER,PUMP,"SUPER T SERIES 1429416",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",,,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,INFRASTRUCTURE,SEWER,PUMP,"SUPER T SERIES 1429416",BOSHOF,N/A,N/A,N/A,N/A
A05894,"PUMP CONTROLLER",,INFRASTRUCTURE,SEWER,"PUMP CONTROLLER","TELEMACANIQUE 53.04.07",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",,,,2012/06/30,"TECHNICAL SERVICES",N/A,,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Unchanged,"2013-06-15 19:28:22","2013-06-15 19:28:22",GOOD,INFRASTRUCTURE,SEWER,"PUMP CONTROLLER","TELEMACANIQUE 53.04.07",BOSHOF,N/A,N/A,N/A,N/A
A05896,"PUMP CONTROLLER",,INFRASTRUCTURE,SEWER,"PUMP CONTROLLER","TELEMACANIQUE ",,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"PUMP CONTROLLER","TELEMACANIQUE ",BOSHOF,N/A,N/A,N/A,N/A
A05895,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,"WAG 200L",,NO,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,FAIR,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",FAIR,INFRASTRUCTURE,SEWER,MOTOR,"WAG 200L",BOSHOF,N/A,N/A,N/A,N/A
A05901,"PUMP SWITCH",,INFRASTRUCTURE,SEWER,"PUMP SWITCH",STEEL,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"PUMP SWITCH",STEEL,BOSHOF,N/A,N/A,N/A,N/A
A05902,"METER CONTROL",,INFRASTRUCTURE,SEWER,"METER CONTROL",DYNAMICS,,YES,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",GOOD,INFRASTRUCTURE,SEWER,"METER CONTROL",DYNAMICS,BOSHOF,N/A,N/A,N/A,N/A
A05904,MOTOR,,INFRASTRUCTURE,SEWER,MOTOR,"FEMCO 3KW",,NO,"TECHNICAL SERVICES",SEWER,BOSHOF,BOSHOF,"REWIL SEWER PLANT",SUWER,,,2012/06/30,"TECHNICAL SERVICES",N/A,GOOD,"TECHNICAL SERVICES",N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-28.5438369,25.2476995,N/A,N/A,N/A,N,"MARAIS STREET",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,"TAKE ON 2008",Updated,"2013-06-15 19:28:22","2013-06-24 12:17:16",POOR,INFRASTRUCTURE,SEWER,MOTOR,"FEMCO 3KW",BOSHOF,N/A,N/A,N/A,N/A
