BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,CATEGORY_5,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,LOCATION_4,FLOOR NUMBER,ROOM TYPE,VERIFICATION DATE,OWNERSHIP,DUPLICATE BARCODE,ASSET CONDITION,OWNER,LEASED,VIN NUMBER,DATE OF VERIFICATION,SUPPLIER NAME,GAMAP FUNDING,GFS FUNDING,QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,FROM NODE,TO NODE,NODE LAYER,START LAT,START LONG,END LAT,END LONG,GIS_ID,STAND NUMBER,STREET NAME,LAND RENTED (Y/N),LAND OR IMPROVEMENTS,LAND MATCHED,ERF NUMBER,PORTION,EXTENSION,TITLE DEED NUMBER,SURVEY GENERAL REFERANCE NO,LAND SIZE,VOTE NUMBER,ORDER NUMBER,ORDER DATE,INVOICE NUMBER,INVOICE DATE,CHEQUE NUMBER,WAS ASSET BROUGHT IN ON A DRC,
A05900,MOTOR,N/A,INFRASTRUCTURE,SEWER,MOTOR,WAG 200L,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05898,PUMP,N/A,INFRASTRUCTURE,SEWER,PUMP,SUPER T SERIES 1314962,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05899,MOTOR,N/A,INFRASTRUCTURE,SEWER,MOTOR,WAG 200L,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05897,PUMP,N/A,INFRASTRUCTURE,SEWER,PUMP,SUPER T SERIES 1429416,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05894,PUMP CONTROLLER,N/A,INFRASTRUCTURE,SEWER,PUMP CONTROLLER,TELEMACANIQUE 53.04.07,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05896,PUMP CONTROLLER,N/A,INFRASTRUCTURE,SEWER,PUMP CONTROLLER,TELEMACANIQUE ,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05895,MOTOR,N/A,INFRASTRUCTURE,SEWER,MOTOR,WAG 200L,,NO,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,FAIR,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05901,PUMP SWITCH,N/A,INFRASTRUCTURE,SEWER,PUMP SWITCH,STEEL,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05902,METER CONTROL,N/A,INFRASTRUCTURE,SEWER,METER CONTROL,DYNAMICS,,YES,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
A05904,MOTOR,N/A,INFRASTRUCTURE,SEWER,MOTOR,FEMCO 3KW,,NO,TECHNICAL SERVICES,SEWER,BOSHOF,BOSHOF,REWIL SEWER PLANT,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,POOR,TECHNICAL SERVICES,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.003'S,25°14.644'E,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,YES,TAKE ON 2008
