BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,FLOOR NUMBER,ROOM TYPE,VERIFICATION DATE,OWNERSHIP,DUPLICATE BARCODE,ASSET CONDITION,OWNER,LEASED,VIN NUMBER,DATE OF VERIFICATION,SUPPLIER NAME,GAMAP FUNDING,GFS FUNDING,QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,FROM NODE,TO NODE,NODE LAYER,LAT,LONG,GIS_ID,,,,
A07141,WATER TANK,N/A,,,WATER TANK,STEEL 200 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.298'S,25°30.788'E,N/A,,,,
A07142,WATER TANK,N/A,,,WATER TANK,STEEL 200 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.298'S,25°30.788'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,CONCRETE 500 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.281'S,25°30.805'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,CONCRETE 500 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.283'S,25°30.807'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,CONCRETE 500 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.283'S,25°30.811'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,CONCRETE 500 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.279'S,25°30.808'E,N/A,,,,
A07143,WATER TANK,N/A,,,WATER TANK,STEEL 200 000L,YES,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.212'S,25°29.495'E,N/A,,,,
A07144,SWITCHBOX,N/A,,,SWITCHBOX,STEEL,YES,,,HERTZOGVILLE,MALEBOGO,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.211'S,25°29.495'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,STEEL 200 000L,YES,,,HERTZOGVILLE,MALEBOGO,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°07.211'S,25°29.495'E,N/A,,,,
,,,,,0,,,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,HERTZOGVILLE,N/A,N/A,N/A,N/A,2012/06/30,TECHNICAL SERVICES,N/A,GOOD,MR. G MATHETSA,,,,,,,,,,,,,,,,,,,,,
N/A,PAVING,N/A,,,PAVING,TAR,YES,,,BOSHOF,MUNICIPAL BUILDING,YARD,N/A,N/A,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,ADV. L MOFOKENG,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,34X46.7M,N/A,N/A,N/A,28°32.324'S,25°14.330'E,N/A,,,,
N/A,PARKING,N/A,,,PARKING,CONCRETE,YES,,,BOSHOF,MUNICIPAL BUILDING,YARD,N/A,N/A,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,ADV. L MOFOKENG,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,30.7X3.8M,N/A,N/A,N/A,28°32.333'S,25°14.332'E,N/A,,,,
N/A,PAVING,N/A,,,PAVING,BRICKS,YES,,,BOSHOF,MUNICIPAL BUILDING,YARD,N/A,N/A,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,ADV. L MOFOKENG,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,55X10M,N/A,N/A,N/A,28°32.334'S,25°14.346'E,N/A,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,TERABYTE EXTERNAL HARD DRIVE,,,,TERABYTE EXTERNAL HARD DRIVE,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,PAPRENAX TRADING CC,,,1.00,,,,,,,,,,,,,,,,
,SHREDDER,,,,SHREDDER,GBC CC175,,,TOKOLOGO,,,,,,,EXCELLENT,FINANCE,,,,MAMELLO TRADING,,,1.00,,,,,,,,,,,,,,,,
,ALCOHOL TESTER & PRINTER,,,,ALCOHOL TESTER & PRINTER,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,NOVAGEN AFRICA,,,1.00,,,,,,,,,,,,,,,,
,ALCOHOL TESTER & PRINTER,,,,ALCOHOL TESTER & PRINTER,,,,TOKOLOGO,,,,,,,EXCELLENT,TECHNICAL,,,,NOVAGEN AFRICA,,,1.00,,,,,,,,,,,,,,,,
,SHREDDER,,,,SHREDDER,AUTO PLUS 250X-301420,,,TOKOLOGO,,,,,,,EXCELLENT,FINANCE,,,,FIRST TECHNOLOGY,,,1.00,,,,,,,,,,,,,,,,
