PPE GROUP,SUBGROUP,GRAP DESCRIPTION,ITEM BARCODE NUMBER,ITEM DESCRIPTION,MODEL,REGISTRATION/SERIAL NUMBER,WIDTH,GRADING,DIAMETRE,LENGTH,ITEM CONDITION,LIFE SPAN/MONTHS,QUANTITY,IN USE,GIS_ID,TOWN NAME,LAT_START,LONG_START,LAT_END,LONG_END,STAND NUMBER,STREET NAME,LAND DESCRIPTION,BUILDING DESCRIPTION,FLOOR NUMBER,ROOM BARCODE NUMBER,ROOM NAME,DEPARTMENT
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M1,PETRUS STEYN,28.122330,N/A,N/A,-27.647089,508,DE WET STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M11,PETRUS STEYN,28.125211,N/A,N/A,-27.653296,435,DU PLESSIS STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M2,PETRUS STEYN,28.123817,N/A,N/A,-27.650236,194,DE WET STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M4,PETRUS STEYN,28.125892,N/A,N/A,-27.649481,588,POTGIETER STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M3,PETRUS STEYN,28.124495,N/A,N/A,-27.649989,192,GROENEWALD STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M5,PETRUS STEYN,28.125494,N/A,N/A,-27.648587,543,POTGIETER STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M6,PETRUS STEYN,28.127390,N/A,N/A,-27.648504,177,REITZ STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M10,PETRUS STEYN,28.124392,N/A,N/A,-27.651484,196,DE WET STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M7,PETRUS STEYN,28.128495,N/A,N/A,-27.649489,225,VAN RENSBURG STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M9,PETRUS STEYN,28.126309,N/A,N/A,-27.650798,204,POTGIETER STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M8,PETRUS STEYN,28.126121,N/A,N/A,-27.650392,205,POTGIETER STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M26,PETRUS STEYN,28.126909,N/A,N/A,-27.652096,589/3,POTGIETER STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M14,PETRUS STEYN,28.132410,N/A,N/A,-27.650097,364,VAN WYK STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M13,PETRUS STEYN,28.132613,N/A,N/A,-27.650627,397,DU PLESSIS STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M24,PETRUS STEYN,28.131617,N/A,N/A,-27.651639,405,KERK STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M15,PETRUS STEYN,28.122919,N/A,N/A,-27.654799,445,WESSEL STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M22,PETRUS STEYN,28.134599,N/A,N/A,-27.650598,390,HERTZOG STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M23,PETRUS STEYN,28.131806,N/A,N/A,-27.651613,404,KERK STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M17,PETRUS STEYN,28.126203,N/A,N/A,-27.655108,459,HERTZOG STR,N/A,N/A,N/A,N/A,N/A,SEWER
INFRASTRUCTURE ASSETS,SEWERAGE,SEWERS / RETICULATION,N/A,MANHOLES,N/A,N/A,N/A,N/A,N/A,N/A,FAIR,360,1,IN USE,M16,PETRUS STEYN,28.123510,N/A,N/A,-27.656087,447,WESSEL STR,N/A,N/A,N/A,N/A,N/A,SEWER
