PPE GROUP,SUBGROUP,GRAP DESCRIPTION,ITEM BARCODE NUMBER,ITEM DESCRIPTION,MODEL,REGISTRATION/SERIAL NUMBER,WIDTH,GRADING,DIAMETRE,LENGTH,ITEM CONDITION,LIFE SPAN/MONTHS,QUANTITY,IN USE,GIS_ID,TOWN NAME,LAT_START,LONG_START,LAT_END,LONG_END,STAND NUMBER,STREET NAME,LAND DESCRIPTION,BUILDING DESCRIPTION,FLOOR NUMBER,ROOM BARCODE NUMBER,ROOM NAME,DEPARTMENT
INFRASTRUCTURE,WATER,PIPELINE,WL737,50mm AC,N/A,N/A,N/A,N/A,50,131.81,FAIR,240,N/A,IN USE,WL737,REITZ,"27° 47' 23.148"" S "," 28° 25' 59.339"" N "," 27° 47' 26.443"" S "," 28° 25' 56.266"" N",1299,BUITEKANT,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL738,50mm AC,N/A,N/A,N/A,N/A,50,336.95,FAIR,240,N/A,IN USE,WL738,REITZ,"27° 47' 26.443"" S "," 28° 25' 56.266"" N "," 27° 47' 35.945"" S "," 28° 25' 50.987"" N",129,PASTORIE STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL745,50mm AC,N/A,N/A,N/A,N/A,50,123.89,FAIR,240,N/A,IN USE,WL745,REITZ,"27° 48' 3.103"" S "," 28° 25' 45.970"" N "," 27° 48' 7.072"" S "," 28° 25' 45.229"" N",1305,BUITEKANT STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL746,50mm AC,N/A,N/A,N/A,N/A,50,76.99,FAIR,240,N/A,IN USE,WL746,REITZ,"27° 48' 7.072"" S "," 28° 25' 45.229"" N "," 27° 48' 9.539"" S "," 28° 25' 44.772"" N",1306,27 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL747,50mm AC,N/A,N/A,N/A,N/A,50,93.86,FAIR,240,N/A,IN USE,WL747,REITZ,"27° 48' 9.539"" S "," 28° 25' 44.772"" N "," 27° 48' 12.547"" S "," 28° 25' 44.214"" N",1307,ROSI STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL748,50mm AC,N/A,N/A,N/A,N/A,50,59.42,FAIR,240,N/A,IN USE,WL748,REITZ,"27° 48' 12.547"" S "," 28° 25' 44.214"" N "," 27° 48' 14.451"" S "," 28° 25' 43.862"" N",1308,15 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL749,50mm AC,N/A,N/A,N/A,N/A,50,330.74,FAIR,240,N/A,IN USE,WL749,REITZ,"27° 47' 29.494"" S "," 28° 26' 2.659"" N "," 27° 47' 36.705"" S "," 28° 25' 56.092"" N",1309,46 AVE,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL750,50mm AC,N/A,N/A,N/A,N/A,50,115.83,FAIR,240,N/A,IN USE,WL750,REITZ,"27° 47' 36.705"" S "," 28° 25' 56.092"" N "," 27° 47' 40.415"" S "," 28° 25' 55.396"" N",130,THERON STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL751,50mm AC,N/A,N/A,N/A,N/A,50,219.85,FAIR,240,N/A,IN USE,WL751,REITZ,"27° 47' 40.415"" S "," 28° 25' 55.396"" N "," 27° 47' 47.458"" S "," 28° 25' 54.070"" N",1310,THERON STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL753,50mm AC,N/A,N/A,N/A,N/A,50,154.07,FAIR,240,N/A,IN USE,WL753,REITZ,"27° 47' 51.714"" S "," 28° 25' 53.269"" N "," 27° 47' 56.649"" S "," 28° 25' 52.340"" N",1312,KALVER STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL756,50mm AC,N/A,N/A,N/A,N/A,50,142.28,FAIR,240,N/A,IN USE,WL756,REITZ,"27° 47' 39.672"" S "," 28° 25' 50.268"" N "," 27° 47' 40.415"" S "," 28° 25' 55.396"" N",1315,PLEIN NOORD STR,N/A,N/A,N/A,N/A,N/A,WATER
INFRASTRUCTURE,WATER,PIPELINE,WL757,50mm AC,N/A,N/A,N/A,N/A,50,108.76,FAIR,240,N/A,IN USE,WL757,REITZ,"27° 47' 40.415"" S "," 28° 25' 55.396"" N "," 27° 47' 40.984"" S "," 28° 25' 59.317"" N",1316,GIRLA STR,N/A,N/A,N/A,N/A,N/A,WATER
